,latitude,longitude,time,tags
9654,37.858132012,-122.241756236,2017-07-31 16:11:15,marlboro+cigarette+pack
9659,37.858981625,-122.243690979,2017-07-30 21:43:07,hairband
9660,37.859442104,-122.243272858,2017-07-30 21:45:08,cigarette+marlboro
9661,37.859442104,-122.243272858,2017-07-30 21:43:13,paper+chopsticks
9663,37.859442104,-122.243272858,2017-07-30 21:45:01,marlboro+cigarette
9664,37.859611041,-122.242547907,2017-07-30 21:47:03,cigarette
9665,37.859611041,-122.242547907,2017-07-30 21:46:05,cigarette
9666,37.859471566,-122.242734991,2017-07-30 21:45:45,straw+plastic
9667,37.858987677,-122.243686929,2017-07-30 21:43:06,hairband
9668,37.859465405,-122.242801543,2017-07-30 21:45:11,cigarette+marlboro
9669,37.83220128,-122.196479956,2017-07-30 19:55:43,tape
9671,37.827039425,-122.208940679,2017-07-30 19:20:16,timestamp+marlboro+cigarette+1220pst
9677,37.850221465,-122.242231993,2017-07-29 21:26:35,spork+plastic
9681,37.850367939,-122.243536133,2017-07-29 21:23:52,aluminum+guayaki+can
9682,37.82533114,-122.209302506,2017-07-29 00:34:35,plastic+bottlecap
9683,37.858747887,-122.24647269,2017-07-28 16:12:43,paper
9684,37.859068732,-122.245086702,2017-07-28 16:15:10,plastic+bottle
9685,37.859068732,-122.245086702,2017-07-28 16:15:15,nitrousoxide
9686,37.859063912,-122.245104807,2017-07-28 16:14:37,glass
9687,37.858747887,-122.24647269,2017-07-28 16:13:36,paper
9688,37.858747887,-122.24647269,2017-07-28 16:13:31,coffeesleeve+peets
9689,37.858803477,-122.245090901,2017-07-28 16:14:33,glass
9690,37.859068019,-122.245120481,2017-07-28 16:14:41,glass
9691,37.858803477,-122.245090901,2017-07-28 16:14:23,hennessey+glass
9692,37.858747887,-122.24647269,2017-07-28 16:11:55,paper+timestamp
9693,37.859222699,-122.243286027,2017-07-28 16:09:01,hichew+timestamp
9694,37.850196194,-122.243755655,2017-07-28 15:50:52,natureandgarden
9695,37.85006056,-122.243615859,2017-07-28 15:50:41,wrapper+starburst
9696,37.859077225,-122.242880317,2017-07-28 02:35:15,wrigleys+paper+gum+wrapper
9697,37.856010852,-122.245346125,2017-07-27 20:44:38,cigarette+dunhill
9698,37.859611376,-122.242663745,2017-07-27 20:44:51,cigarette
9699,37.856010852,-122.245346125,2017-07-27 20:44:38,marlboro+cigarette
9700,37.859487983,-122.242684139,2017-07-27 20:45:27,paper+bag
9701,37.829579478,-122.212506998,2017-07-27 02:29:01,styrofoam
9702,37.82909954,-122.211330672,2017-07-27 02:42:14,plastic+pushpop+wrapper
9703,37.828837303,-122.212039624,2017-07-27 02:33:20,pepsi+bottlecap
9706,37.829595578,-122.211383801,2017-07-27 02:43:51,styrofoam
9707,37.829580861,-122.212499874,2017-07-27 02:28:41,kitkat+wrapper
9708,37.829541802,-122.212456204,2017-07-27 02:30:36,paper+wrigleys+gum+wrapper
9709,37.82949267,-122.211864157,2017-07-27 02:25:14,starbucks+plastic+cup
9710,37.828330283,-122.211043699,2017-07-27 02:21:01,plastic+clip
9711,37.82928674,-122.212510184,2017-07-27 02:42:36,plastic+cup
9712,37.829668494,-122.212268785,2017-07-27 02:24:38,plastic
9713,37.828427436,-122.210980994,2017-07-27 02:21:43,plastic
9714,37.829291381,-122.211384584,2017-07-27 02:23:50,wrigleys+paper+gum+wrapper
9715,37.828837303,-122.212039624,2017-07-27 02:33:24,plastic+fork
9717,37.828330283,-122.211043699,2017-07-27 02:20:41,bottlecap+plastic
9718,37.82949267,-122.211864157,2017-07-27 02:25:15,starbucks+lid+plastic
9719,37.830386189,-122.211999024,2017-07-27 02:24:27,twix+wrapper
9721,37.829541802,-122.212456204,2017-07-27 02:29:46,welchs
9722,37.82852579,-122.211131584,2017-07-27 02:18:18,paper+jackinthebox+receipt
9723,37.828516318,-122.211825382,2017-07-27 02:19:41,bauschandlomb
9725,37.828147686,-122.210924883,2017-07-27 02:19:28,plastic
9727,37.828427436,-122.210980994,2017-07-27 02:21:50,styrofoam
9729,37.828406096,-122.211650619,2017-07-27 02:19:44,plastic+spoon
9731,37.829724192,-122.212117408,2017-07-27 02:24:33,styrofoam
9732,37.828427436,-122.210980994,2017-07-27 02:21:39,plastic+bottlecap
9733,37.828330283,-122.211043699,2017-07-27 02:21:05,kirkland+bottle+plastic+waterbottle
9735,37.828516318,-122.211825382,2017-07-27 02:19:38,flan
9736,37.829661747,-122.21225705,2017-07-27 02:25:13,starbucks+plastic+straw
9737,37.828516318,-122.211825382,2017-07-27 02:19:37,soysauce
9739,37.829179368,-122.212281274,2017-07-27 02:35:55,sanpellegrino+can+aluminum
9740,37.828330283,-122.211043699,2017-07-27 02:20:37,paper
9741,37.829729053,-122.212096872,2017-07-27 02:24:30,plastic
9742,37.828427436,-122.210980994,2017-07-27 02:22:09,welchs
9743,37.829579478,-122.212506998,2017-07-27 02:28:53,paper
9744,37.828427436,-122.210980994,2017-07-27 02:22:00,plastic+wrapper
9745,37.828969066,-122.212228803,2017-07-27 02:33:53,paper+wrigleys+gum+wrapper
9746,37.828427436,-122.210980994,2017-07-27 02:21:56,styrofoam
9747,37.828321564,-122.212077007,2017-07-27 02:18:34,cigarette+marlboro
9748,37.829492474,-122.212301307,2017-07-27 02:25:20,styrofoam
9749,37.829595578,-122.211383801,2017-07-27 02:43:47,styrofoam
9750,37.828255682,-122.211931246,2017-07-27 02:18:44,plastic+bottlecap
9751,37.82817657,-122.211462759,2017-07-27 02:32:40,paper
9753,37.829291381,-122.211384584,2017-07-27 02:23:36,plastic+straw
9754,37.82928674,-122.212510184,2017-07-27 02:42:44,plastic+bottlecap
9755,37.829661747,-122.21225705,2017-07-27 02:24:59,styrofoam
9757,37.829291381,-122.211384584,2017-07-27 02:23:25,cup+plastic
9759,37.828883595,-122.211808222,2017-07-27 02:29:28,otterpop+plastic+wrapper
9761,37.82928674,-122.212510184,2017-07-27 02:42:39,plastic
9763,37.828427436,-122.210980994,2017-07-27 02:23:18,sparklingice+plastic
9764,37.829541802,-122.212456204,2017-07-27 02:29:43,laffytaffy+wrapper
9765,37.829579478,-122.212506998,2017-07-27 02:28:51,charms+minipops
9767,37.829579478,-122.212506998,2017-07-27 02:29:09,styrofoam
9768,37.82817657,-122.211462759,2017-07-27 02:33:04,plastic
9769,37.829579478,-122.212506998,2017-07-27 02:29:06,plastic
9770,37.829661747,-122.21225705,2017-07-27 02:25:01,styrofoam
9771,37.829363099,-122.212313628,2017-07-27 02:36:02,plastic
9772,37.815796848,-122.20476691,2017-07-27 02:10:48,plastic
9773,37.849573208,-122.243644147,2017-07-26 21:54:30,straw+plastic
9774,37.848819466,-122.243410321,2017-07-26 21:47:22,wrigleys+paper+gum+wrapper
9775,37.849382018,-122.243125336,2017-07-26 21:51:47,paper
9776,37.849693405,-122.243557675,2017-07-26 21:54:57,kettlepop
9777,37.849648252,-122.243674345,2017-07-26 21:54:41,pipecleaner
9778,37.849382018,-122.243125336,2017-07-26 21:51:28,cigarette
9779,37.849382018,-122.243125336,2017-07-26 21:51:13,paper+napkin
9780,37.849382018,-122.243125336,2017-07-26 21:51:15,paper
9781,37.848879481,-122.243443597,2017-07-26 21:47:14,cigarette
9782,37.848993517,-122.243415434,2017-07-26 21:47:37,plastic+wrapper
9783,37.848893395,-122.243461534,2017-07-26 21:47:09,foil
9784,37.849382018,-122.243125336,2017-07-26 21:51:01,plumorganics
9786,37.849382018,-122.243125336,2017-07-26 21:51:24,label
9787,37.8497701,-122.243625652,2017-07-26 21:55:15,galbani+plastic+wrapper+stringcheese
9788,37.849382018,-122.243125336,2017-07-26 21:50:54,plastic
9789,37.849098835,-122.243359191,2017-07-26 21:50:38,paper+napkin
9790,37.849094812,-122.24344301,2017-07-26 21:49:17,odwalla
9791,37.849094812,-122.24344301,2017-07-26 21:49:36,halls+wrapper
9792,37.849098835,-122.243359191,2017-07-26 21:49:50,foil
9793,37.849050094,-122.243419876,2017-07-26 21:47:40,wrapper+plastic
9794,37.849098835,-122.243359191,2017-07-26 21:50:44,paper+napkin
9795,37.849477611,-122.243645827,2017-07-26 21:54:05,greatvalue+plastic+waterbottle+bottle
9796,37.849382018,-122.243125336,2017-07-26 21:52:05,plastic+bottle
9797,37.848987272,-122.243437227,2017-07-26 21:47:35,plastic
9799,37.849098835,-122.243359191,2017-07-26 21:50:45,paper
9800,37.85761443,-122.241569404,2017-07-26 16:26:34,cigarette
9801,37.857601298,-122.241805568,2017-07-26 16:29:20,paper
9802,37.85758019,-122.241600081,2017-07-26 16:26:11,cigarette+zen
9803,37.857258576,-122.241808791,2017-07-26 16:27:19,paper+napkin
9805,37.857601298,-122.241805568,2017-07-26 16:29:15,cigarette+pallmall
9806,37.857774619,-122.241891361,2017-07-26 16:24:58,pen
9807,37.815807328,-122.202566814,2017-07-25 23:30:14,dietpepsi+can+aluminum
9808,37.857233891,-122.241791692,2017-07-26 16:28:00,styrofoam
9810,37.857233891,-122.241791692,2017-07-26 16:27:38,cigarette
9811,37.85787913,-122.241766881,2017-07-26 16:29:24,cigarette
9812,37.85761443,-122.241569404,2017-07-26 16:27:10,foil
9813,37.85761443,-122.241569404,2017-07-26 16:27:13,cigarette
9814,37.85761443,-122.241569404,2017-07-26 16:27:03,cigarette
9815,37.857942665,-122.241726229,2017-07-26 16:25:38,zen+cigarette
9816,37.849718886,-122.243596064,2017-07-26 15:49:25,plastic
9817,37.849335582,-122.243499169,2017-07-26 15:49:38,waterbottle+plastic
9818,37.815708112,-122.202655814,2017-07-25 23:48:32,plastic
9819,37.726852172,-122.081388468,2017-07-25 18:34:03,cigarette
9820,37.726850244,-122.081402466,2017-07-25 18:34:07,ross+paper
9821,37.815708112,-122.202655814,2017-07-25 23:48:31,plastic
9822,37.815708112,-122.202655814,2017-07-25 23:48:30,plastic
9823,37.849718886,-122.243596064,2017-07-26 15:49:13,plastic+bag
9824,37.818010794,-122.203325856,2017-07-25 23:38:27,wrapper+starburst
9825,37.815867289,-122.202545492,2017-07-25 23:30:17,coorslight+aluminum+can
9826,37.84994493,-122.243615566,2017-07-26 15:43:01,caprisun+juicepouch
9827,37.815967383,-122.20365243,2017-07-25 23:27:16,bottlecap+plastic
9828,37.726740609,-122.081358209,2017-07-25 18:33:21,cigarette
9829,37.72696978,-122.081429558,2017-07-25 18:35:22,marlboro+cigarette
9830,37.726967968,-122.081407914,2017-07-25 18:34:53,cigarette
9831,37.726886203,-122.081401041,2017-07-25 18:34:35,paper+napkin
9832,37.726782518,-122.081349492,2017-07-25 18:33:47,landm+cigarette
9833,37.726840689,-122.081421828,2017-07-25 18:34:24,paper+receipt
9834,37.726688557,-122.081372794,2017-07-25 18:33:00,cigar+plastic
9835,37.726688557,-122.081372794,2017-07-25 18:33:01,plastic
9836,37.726748153,-122.08135033,2017-07-25 18:33:30,plastic
9837,37.726740609,-122.081358209,2017-07-25 18:33:23,cigarette
9838,37.72696978,-122.081429558,2017-07-25 18:35:12,cigarette+marlboro
9839,37.72694936,-122.081411183,2017-07-25 18:34:45,cigarette
9841,37.726976769,-122.08141244,2017-07-25 18:35:02,adidas+paper
9842,37.726782644,-122.081346559,2017-07-25 18:33:40,marlboro+cigarette
